batch	kind	accession	file_level	n_sample_rows	n_papers	dois	file_format	page_url	example_download_url	dest_dir	how	skip_reason
D	CNP	CNP0004894	Level 1+2	1	1	10.1007/s10238-026-02090-x	FASTQ / raw sequence reads (CNSA); expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0004894/		data/CNP/CNP0004894	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0004966	Level 1+2	1	1	10.1038/s41421-024-00740-6	FASTQ / raw sequence reads (CNSA); expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0004966/		data/CNP/CNP0004966	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0005053	Level 1+2	1	1	10.1111/nph.70160	FASTQ / raw sequence reads (CNSA); expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0005053/		data/CNP/CNP0005053	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0005078	Level 2	1	1	10.1038/s41421-024-00656-1	expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0005078/		data/CNP/CNP0005078	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0005220	Level 2	1	1	10.1016/j.xcrm.2024.101914	expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0005220/		data/CNP/CNP0005220	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0005245	Level 1+2	1	1	10.1038/s41467-025-59070-0	FASTQ / raw sequence reads (CNSA); expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0005245/		data/CNP/CNP0005245	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0005291	Level 2	1	1	10.1002/advs.202405914	expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0005291/		data/CNP/CNP0005291	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0005294	Level 1+2	1	1	10.1002/advs.202405914	FASTQ / raw sequence reads (CNSA); expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0005294/		data/CNP/CNP0005294	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0005537	Level 1+2	1	1	10.1073/pnas.2417445122	FASTQ / raw sequence reads (CNSA); expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0005537/		data/CNP/CNP0005537	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0005559	Level 1+2	1	1	10.1016/j.ebiom.2024.105363	FASTQ / raw sequence reads (CNSA); expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0005559/		data/CNP/CNP0005559	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0005580	Level 2	1	1	10.1002/imt2.272	expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0005580/		data/CNP/CNP0005580	login CNGBdb; processed matrices only (skip FASTQ)	
